abide abided/abode abided/abidden abiding
arise arose arisen arising
awake awoke awoken awaking
be was/were been being
bear bore/bare born/borne bearing
forbear forbore forborne forbearing
misbear misbore misborne misbearing
overbear overbore overborne overbearing
underbear underbore underborne underbearing
beat beat beaten/beat beating
browbeat browbeat browbeaten browbeating
become became become becoming
misbecome misbecame misbecome misbecoming
befall befell befallen befalling
beget begot/begat begotten/begot begetting
misbeget misbegot misbegotten/misbegot misbegeting
begin began begun beginning
bend bent/bended bent/bended bending
overbend overbent overbent overbending
unbend unbent unbent unbending
bereave bereaved/bereft bereaved/bereft bereaving
beseech besought/beseeched besought/beseeched beseeching
beset beset beset besetting
bet bet/betted bet/betted betting
bid bid bid bidding
outbid outbid outbid outbidding
overbid overbid overbid overbidding
underbid underbid underbid underbidding
bid bade/bid/bidded bidden/bid/bidded bidding
bide bided/bode bided/bidden biding
bind bound bound/bounden binding
unbind unbound unbound unbounding
underbind underbound underbound underbounding
bite bit bitten biting
bleed bled bled bleeding
bless blessed/blest blessed/blest blessing
blow blew blown blowing
overblow overblew overblown overblowing
break broke broken breaking
breed bred bred breeding
inbreed inbred inbred inbreeding
interbreed interbred interbred interbreeding
overbreed overbred overbred overbreeding
bring brought brought/broughten bringing
build built built building
overbuild overbuilt overbuilt overbuilding
rebuild rebuilt rebuilt rebuilding
burn burned/burnt burnt/burned burning
burst burst/bursted/brast burst/bursted/bursten bursting
buy bought bought/boughten buying
overbuy overbought overbought overbuying
underbuy underbought underbought underbuying
can could couth 
cast cast cast casting
broadcast broadcast broadcast broadcasting
forecast forecast forecast forecasting
miscast miscast miscast miscasting
overcast overcast overcast overcasting
podcast podcast podcast podcasting
recast recast recast recasting
simulcast simulcast simulcast simulcasting
undercast undercast undercast undercasting
webcast webcast webcast webcasting
catch caught caught catching
choose chose chosen choosing
mischoose mischose mischosen mischoosing
cleave clove cloven/cleft cleaving
cleave cleft/cleaved cleft/cleaved cleaving
clepe cleped/clept cleped/clept cleping
cling clang/clung clung clinging
clothe clothed/clad clothed/clad 
unclothe unclothed/unclad unclothed/unclad 
come came come coming
overcome overcame overcome overcoming
cost cost cost costing
creep crept crept/cropen creeping
cut cut cut cutting
crosscut crosscut crosscut crosscutting
intercut intercut intercut intercutting
undercut undercut undercut undercutting
deal dealt dealt dealing
misdeal misdealt misdealt misdealing
dig dug dug digging
underdig underdug underdug underdigging
dive dived/dove dived diving
do did done doing
misdo misdid misdone misdoing
outdo outdid outdone outdoing
overdo overdid overdone overdoing
redo redid redone redoing
undo undid undone undoing
underdo underdid underdone underdoing
drag drug/dragged drug/dragged dragging
draw drew drawn drawing
overdraw overdrew overdrawn overdrawing
redraw redrew redrawn redrawing
underdraw underdrew underdrawn underdrawing
dream dreamed/dreamt dreamed/dreamt dreaming
dress dressed/drest dressed/drest dressing
overdress overdressed/overdrest overdressed/overdrest overdressing
underdress underdressed/underdrest underdressed/underdrest underdressing
undress undressed/undrest undressed/undrest undressing
drink drank/drunk drank/drunk/drunken drinking
overdrink overdrank overdrunk overdrinking
drive drove/drave driven driving
overdrive overdrove overdriven overdriving
dwell dwelt/dwelled dwelt/dwelled dwelling
eat ate eaten eating
overeat overate overeaten overeating
fall fell fallen falling
feed fed fed feeding
misfeed misfed misfed misfeeding
overfeed overfed overfed overfeeding
underfeed underfed underfed underfeeding
feel felt felt feeling
fight fought fought/foughten fighting
find found found/founden finding
fit fit/fitted fit/fitted fitting
flee fled fled fleeing
fling flung flung flinging
fly flew flown flying
overfly overflew overflown overflying
forbid forbad/forbade/forbid forbid/forbidden forbidding
forecast forecast forecast/forecasted forecasting
forego forewent foregone foregoing
forgo forwent forgone forgoing
